Average for Week Ending,Index (Jan 1999 = 100)
24/3/2000,98.35
31/3/2000,98.25
7/4/2000,98.43
14/4/2000,98.45
21/4/2000,99.48
28/4/2000,99.84
5/5/2000,99.59
12/5/2000,99.63
19/5/2000,99.73
26/5/2000,99.52
2/6/2000,99.33
9/6/2000,99.35
16/6/2000,99.18
23/6/2000,98.64
30/6/2000,98.74
7/7/2000,99.05
14/7/2000,99.08
21/7/2000,98.98
28/7/2000,99.31
4/8/2000,100.21
11/8/2000,100.54
18/8/2000,100.49
25/8/2000,100.57
1/9/2000,100.51
8/9/2000,100.27
15/9/2000,100.32
22/9/2000,100.46
29/9/2000,100.21
6/10/2000,100.37
13/10/2000,100.28
20/10/2000,100.79
27/10/2000,101.1
3/11/2000,101.5
10/11/2000,101.74
17/11/2000,101.53
24/11/2000,101.62
1/12/2000,101.62
8/12/2000,101.87
15/12/2000,102.25
22/12/2000,102.08
29/12/2000,102.31
5/1/2001,101.94
12/1/2001,102.14
19/1/2001,102.29
26/1/2001,101.81
2/2/2001,101.58
9/2/2001,101.58
16/2/2001,101.79
23/2/2001,102.16
2/3/2001,102.16
9/3/2001,101.76
16/3/2001,102.03
23/3/2001,101.94
30/3/2001,101.2
6/4/2001,100.72
13/4/2001,100.72
20/4/2001,100.93
27/4/2001,100.73
4/5/2001,100.07
11/5/2001,100.04
18/5/2001,100.71
25/5/2001,101.17
1/6/2001,101.15
8/6/2001,101.08
15/6/2001,101.03
22/6/2001,100.99
29/6/2001,100.99
6/7/2001,101.05
13/7/2001,100.51
20/7/2001,100.57
27/7/2001,100.77
3/8/2001,101.39
10/8/2001,102.14
17/8/2001,102.3
24/8/2001,101.97
31/8/2001,102.47
7/9/2001,102.85
14/9/2001,103.05
21/9/2001,103.16
28/9/2001,102.05
5/10/2001,101.68
12/10/2001,100
19/10/2001,99.62
26/10/2001,99.48
2/11/2001,99.41
9/11/2001,99.75
16/11/2001,99.34
23/11/2001,99.04
30/11/2001,99.22
7/12/2001,99.07
14/12/2001,99.16
21/12/2001,99.07
28/12/2001,99.22
4/1/2002,99
11/1/2002,99.18
18/1/2002,99.96
25/1/2002,99.97
1/2/2002,100.38
8/2/2002,100.37
15/2/2002,100.42
22/2/2002,100.39
1/3/2002,100.31
8/3/2002,100.17
15/3/2002,100.1
22/3/2002,99.93
29/3/2002,99.24
5/4/2002,99.12
12/4/2002,99.22
19/4/2002,99.29
26/4/2002,99.69
3/5/2002,99.7
10/5/2002,99.62
17/5/2002,99.72
24/5/2002,99.5
31/5/2002,99.34
7/6/2002,99.08
14/6/2002,99.2
21/6/2002,99.12
28/6/2002,99.31
5/7/2002,99.21
12/7/2002,99.69
19/7/2002,100.14
26/7/2002,100.1
2/8/2002,99.96
9/8/2002,100.01
16/8/2002,100.31
23/8/2002,100.52
30/8/2002,100.44
6/9/2002,100.44
13/9/2002,100.31
20/9/2002,99.72
27/9/2002,99.57
4/10/2002,99.32
11/10/2002,99.15
18/10/2002,99.24
25/10/2002,99.92
1/11/2002,100.13
8/11/2002,100.19
15/11/2002,99.79
22/11/2002,99.77
29/11/2002,99.99
6/12/2002,99.94
13/12/2002,100.06
20/12/2002,100.49
27/12/2002,100.74
3/1/2003,100.57
10/1/2003,100.31
17/1/2003,100.27
24/1/2003,100.19
